"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","76.043","84.300","92.015","71.200","468.96K","-3.17%"
"01/01/2026","78.531","71.320","121.785","70.460","549.43K","11.61%"
"12/01/2025","70.363","56.640","81.845","56.430","39.56K","24.07%"
"11/01/2025","56.711","48.250","56.775","46.520","1.36M","17.76%"
"10/01/2025","48.160","46.735","53.425","45.380","141.53K","3.26%"
"09/01/2025","46.640","40.790","47.975","41.065","1.27M","14.70%"
"08/01/2025","40.662","37.090","41.995","36.960","1.05M","10.76%"
"07/01/2025","36.712","36.325","39.910","36.055","1.15M","1.49%"
"06/01/2025","36.172","33.130","37.405","34.165","1.13M","8.22%"
"05/01/2025","33.423","32.810","33.915","31.780","823.23K","1.81%"
"04/01/2025","32.828","34.770","35.155","29.115","1.28M","-5.15%"
"03/01/2025","34.611","31.715","35.495","32.030","982.64K","7.79%"
"02/01/2025","32.110","32.460","34.240","31.365","961.43K","-1.18%"
"01/01/2025","32.493","29.310","32.920","29.935","811.87K","10.48%"
"12/01/2024","29.412","30.785","33.330","29.145","826.44K","-3.42%"
"11/01/2024","30.455","32.720","33.055","29.750","1.03M","-7.58%"
"10/01/2024","32.953","31.420","35.070","30.345","1.38M","4.75%"
"09/01/2024","31.458","29.188","33.020","28.010","1.29M","5.47%"
"08/01/2024","29.827","29.070","30.110","26.505","1.14M","2.59%"
"07/01/2024","29.073","29.445","32.015","27.555","1.29M","-0.63%"
"06/01/2024","29.256","30.765","31.670","28.580","1.36M","-7.65%"
"05/01/2024","31.680","26.550","32.720","26.255","1.61M","18.86%"
"04/01/2024","26.654","25.360","29.905","25.195","1.92M","7.13%"
"03/01/2024","24.879","23.370","25.975","23.785","1.14M","8.71%"
"02/01/2024","22.885","23.435","23.560","21.975","1.14M","-1.71%"
"01/01/2024","23.282","24.027","24.335","22.165","1.13M","-4.47%"
"12/01/2023","24.372","26.050","25.020","22.785","906.42K","-4.58%"
"11/01/2023","25.541","22.970","25.940","22.150","1.13M","10.69%"
"10/01/2023","23.075","22.410","23.880","20.850","1.08M","1.47%"
"09/01/2023","22.741","24.540","24.655","22.325","1.03M","-7.90%"
"08/01/2023","24.692","24.540","25.425","22.265","1.20M","-1.59%"
"07/01/2023","25.092","22.995","25.475","22.720","953.88K","10.06%"
"06/01/2023","22.798","23.830","24.620","22.140","1.10M","-3.79%"
"05/01/2023","23.696","25.460","26.435","22.785","1.24M","-6.00%"
"04/01/2023","25.209","24.050","26.235","23.970","1.01M","4.71%"
"03/01/2023","24.076","21.030","24.310","19.945","1.08M","14.26%"
"02/01/2023","21.071","24.010","24.750","20.505","1.11M","-11.95%"
"01/01/2023","23.930","24.177","24.775","23.050","1.16M","-1.32%"
"12/01/2022","24.250","22.680","24.525","22.190","857.98K","11.61%"
"11/01/2022","21.727","19.160","23.005","18.805","1.22M","13.26%"
"10/01/2022","19.184","18.995","21.310","18.010","1.04M","2.52%"
"09/01/2022","18.712","17.700","19.960","17.620","961.21K","4.83%"
